p,n,mult,epsilon,Ada-PROBES,AdaSSP,BinAgg,DiffPrivLib,S-PROBES
1,2000,2000,1.0,0.000910847590952685,0.004207680908968415,0.001955140960576735,0.0010006761083611315,
1,5000,5000,1.0,0.0008969219290587134,0.0013548395067815619,0.0012811050606520726,0.00091293604738888,
1,10000,10000,1.0,0.0009062495151359574,0.0010265098881791495,0.0010775276176886285,0.0009099364983323617,
2,4000,2000,1.0,0.0009023268351007706,0.002535316732853659,0.0018389002810147732,0.0010205712635735554,
2,10000,5000,1.0,0.0009071267867288369,0.001358704283141421,0.001189920549181419,0.0009217746331837974,
2,20000,10000,1.0,0.0008995868105428068,0.0009870706673834335,0.0010198654512817587,0.0009035816587118649,
3,6000,2000,1.0,0.0009094691571160885,0.0018817748599404213,0.0018413204046381318,0.0010742103602724006,
3,15000,5000,1.0,0.0009046204888183286,0.0012428224818506219,0.0011651565181586086,0.000925330929081921,
3,30000,10000,1.0,0.0008993014998520481,0.0009905372748969122,0.0009991210180100838,0.0009047695303306684,
4,8000,2000,1.0,0.0009188812461382561,0.0017708891511628313,0.001585082637068237,0.0011195971728641379,
4,20000,5000,1.0,0.0008996958117794146,0.0012124539898639968,0.0012225688292900685,0.000930389464396446,
4,40000,10000,1.0,0.0009011167274753319,0.0009889770177968784,0.001047356511171211,0.0009101192611044355,
5,10000,2000,1.0,0.0009456002869054664,0.001680260902562788,0.001885247163386661,0.0012535205140430832,
5,25000,5000,1.0,0.0009052244073513427,0.0011800055936540526,0.0012053285736337272,0.0009568445873480786,
5,50000,10000,1.0,0.0009048636693413769,0.0009956554686017195,0.0010438384806371124,0.0009179307258280784,
6,12000,2000,1.0,0.0010019766858412153,0.0016053417760919515,0.0020960585791264356,0.0013336270944884787,0.0011370885482090982
6,30000,5000,1.0,0.0009208370503851822,0.0011338139306930784,0.001180367268050352,0.000976769826776125,0.0009387694746503645
6,60000,10000,1.0,0.000905106472973594,0.0010022788483373117,0.001052022891211616,0.0009176715445213851,0.0009113763976225596
8,16000,2000,1.0,0.001507072418101642,0.0015507496807669378,0.0045336397950641125,0.0017503450837078403,0.0014341265130465666
8,40000,5000,1.0,0.0009969320477960996,0.0011114911969219022,0.0017270958982658086,0.0010096353774141878,0.0009699795254787791
8,80000,10000,1.0,0.00092877919885018,0.0010025917352995736,0.0010908581682133847,0.0009326437913375748,0.0009231742511495966
12,24000,2000,1.0,,0.00154381999448092,0.014398277725975652,0.0030912418796314066,0.0023876320114601546
12,60000,5000,1.0,,0.0011459507268923945,0.0071908304378456986,0.0012085842713795006,0.0011115923060009386
12,120000,10000,1.0,,0.0009975927650704831,0.0035683570021011806,0.0009807485760326747,0.0009542603940454285
15,30000,2000,1.0,,0.001525172757716473,0.019181259847696183,0.005023317336111631,0.002198279585872617
15,75000,5000,1.0,,0.00116255816002237,0.011744462362387534,0.0013863972594972507,0.0010963466926921359
15,150000,10000,1.0,,0.0010146704965675354,0.006077890389569008,0.001028419363010863,0.0009474531828353959
20,40000,2000,1.0,,0.0014914849093346644,0.02161714387286755,0.010721305596024428,0.0031186396598817125
20,100000,5000,1.0,,0.0011840056172368557,0.012145770013521453,0.0021211835969939564,0.0012319024038195362
20,200000,10000,1.0,,0.0010440292723888625,0.008837956081142538,0.0011865509893463325,0.0009878463948865346
24,48000,2000,1.0,,0.0014503321422256058,0.02114501783889553,4326033.792485077,0.004876324036270915
24,120000,5000,1.0,,0.0011914639386645732,0.013113527957791717,0.0028878755883182004,0.0014854472471836622
24,240000,10000,1.0,,0.0010611965945956996,0.009268127253368532,0.0013846149498111335,0.0010410068500066464
